"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
"Total"	"Iowa"	"19"	"2017"	"2017"			761	3145711	24.19	23.51
"Total"	"Iowa"	"19"					8461	57386432	14.74	14.31
	"Kansas"	"20"	"1999"	"1999"	"Drug-induced causes"	"D"	100	2678338	3.73	3.81
	"Kansas"	"20"	"1999"	"1999"	"Alcohol-induced causes"	"A"	132	2678338	4.93	5.04
"Total"	"Kansas"	"20"	"1999"	"1999"			232	2678338	8.66	8.86
	"Kansas"	"20"	"2000"	"2000"	"Drug-induced causes"	"D"	112	2688418	4.17	4.28
	"Kansas"	"20"	"2000"	"2000"	"Alcohol-induced causes"	"A"	137	2688418	5.10	5.22
"Total"	"Kansas"	"20"	"2000"	"2000"			249	2688418	9.26	9.48
	"Kansas"	"20"	"2001"	"2001"	"Drug-induced causes"	"D"	148	2702162	5.48	5.62
	"Kansas"	"20"	"2001"	"2001"	"Alcohol-induced causes"	"A"	158	2702162	5.85	5.94
"Total"	"Kansas"	"20"	"2001"	"2001"			306	2702162	11.32	11.57
	"Kansas"	"20"	"2002"	"2002"	"Drug-induced causes"	"D"	189	2713535	6.97	7.18
	"Kansas"	"20"	"2002"	"2002"	"Alcohol-induced causes"	"A"	170	2713535	6.26	6.31
"Total"	"Kansas"	"20"	"2002"	"2002"			359	2713535	13.23	13.50
	"Kansas"	"20"	"2003"	"2003"	"Drug-induced causes"	"D"	197	2723004	7.23	7.44
	"Kansas"	"20"	"2003"	"2003"	"Alcohol-induced causes"	"A"	173	2723004	6.35	6.35
"Total"	"Kansas"	"20"	"2003"	"2003"			370	2723004	13.59	13.77
	"Kansas"	"20"	"2004"	"2004"	"Drug-induced causes"	"D"	238	2734373	8.70	8.99
	"Kansas"	"20"	"2004"	"2004"	"Alcohol-induced causes"	"A"	167	2734373	6.11	6.08
"Total"	"Kansas"	"20"	"2004"	"2004"			405	2734373	14.81	15.05
	"Kansas"	"20"	"2005"	"2005"	"Drug-induced causes"	"D"	284	2745299	10.34	10.61
	"Kansas"	"20"	"2005"	"2005"	"Alcohol-induced causes"	"A"	177	2745299	6.45	6.28
"Total"	"Kansas"	"20"	"2005"	"2005"			461	2745299	16.79	16.89
	"Kansas"	"20"	"2006"	"2006"	"Drug-induced causes"	"D"	292	2762931	10.57	10.78
	"Kansas"	"20"	"2006"	"2006"	"Alcohol-induced causes"	"A"	184	2762931	6.66	6.45
"Total"	"Kansas"	"20"	"2006"	"2006"			476	2762931	17.23	17.21
	"Kansas"	"20"	"2007"	"2007"	"Drug-induced causes"	"D"	294	2783785	10.56	10.81
	"Kansas"	"20"	"2007"	"2007"	"Alcohol-induced causes"	"A"	211	2783785	7.58	7.21
"Total"	"Kansas"	"20"	"2007"	"2007"			505	2783785	18.14	18.02
	"Kansas"	"20"	"2008"	"2008"	"Drug-induced causes"	"D"	241	2808076	8.58	8.75
	"Kansas"	"20"	"2008"	"2008"	"Alcohol-induced causes"	"A"	205	2808076	7.30	6.97
"Total"	"Kansas"	"20"	"2008"	"2008"			446	2808076	15.88	15.71
	"Kansas"	"20"	"2009"	"2009"	"Drug-induced causes"	"D"	318	2832704	11.23	11.54
	"Kansas"	"20"	"2009"	"2009"	"Alcohol-induced causes"	"A"	225	2832704	7.94	7.35
"Total"	"Kansas"	"20"	"2009"	"2009"			543	2832704	19.17	18.85
	"Kansas"	"20"	"2010"	"2010"	"Drug-induced causes"	"D"	288	2853118	10.09	10.24
	"Kansas"	"20"	"2010"	"2010"	"Alcohol-induced causes"	"A"	201	2853118	7.04	6.49
"Total"	"Kansas"	"20"	"2010"	"2010"			489	2853118	17.14	16.73
	"Kansas"	"20"	"2011"	"2011"	"Drug-induced causes"	"D"	317	2871238	11.04	11.37
	"Kansas"	"20"	"2011"	"2011"	"Alcohol-induced causes"	"A"	230	2871238	8.01	7.61
"Total"	"Kansas"	"20"	"2011"	"2011"			547	2871238	19.05	18.99
	"Kansas"	"20"	"2012"	"2012"	"Drug-induced causes"	"D"	341	2885905	11.82	12.25
	"Kansas"	"20"	"2012"	"2012"	"Alcohol-induced causes"	"A"	225	2885905	7.80	7.20
"Total"	"Kansas"	"20"	"2012"	"2012"			566	2885905	19.61	19.46
	"Kansas"	"20"	"2013"	"2013"	"Drug-induced causes"	"D"	356	2893957	12.30	12.85
	"Kansas"	"20"	"2013"	"2013"	"Alcohol-induced causes"	"A"	212	2893957	7.33	6.83
"Total"	"Kansas"	"20"	"2013"	"2013"			568	2893957	19.63	19.65
	"Kansas"	"20"	"2014"	"2014"	"Drug-induced causes"	"D"	349	2904021	12.02	12.30
	"Kansas"	"20"	"2014"	"2014"	"Alcohol-induced causes"	"A"	263	2904021	9.06	8.36
"Total"	"Kansas"	"20"	"2014"	"2014"			612	2904021	21.07	20.67
	"Kansas"	"20"	"2015"	"2015"	"Drug-induced causes"	"D"	349	2911641	11.99	12.51
	"Kansas"	"20"	"2015"	"2015"	"Alcohol-induced causes"	"A"	278	2911641	9.55	8.88
"Total"	"Kansas"	"20"	"2015"	"2015"			627	2911641	21.53	21.41
	"Kansas"	"20"	"2016"	"2016"	"Drug-induced causes"	"D"	333	2907289	11.45	11.76
	"Kansas"	"20"	"2016"	"2016"	"Alcohol-induced causes"	"A"	288	2907289	9.91	9.23
"Total"	"Kansas"	"20"	"2016"	"2016"			621	2907289	21.36	20.98
	"Kansas"	"20"	"2017"	"2017"	"Drug-induced causes"	"D"	360	2913123	12.36	12.71
	"Kansas"	"20"	"2017"	"2017"	"Alcohol-induced causes"	"A"	314	2913123	10.78	9.84
"Total"	"Kansas"	"20"	"2017"	"2017"			674	2913123	23.14	22.56
"Total"	"Kansas"	"20"					9056	53312917	16.99	16.99
	"Kentucky"	"21"	"1999"	"1999"	"Drug-induced causes"	"D"	215	4018053	5.35	5.30
	"Kentucky"	"21"	"1999"	"1999"	"Alcohol-induced causes"	"A"	238	4018053	5.92	5.86
"Total"	"Kentucky"	"21"	"1999"	"1999"			453	4018053	11.27	11.19
	"Kentucky"	"21"	"2000"	"2000"	"Drug-induced causes"	"D"	257	4041769	6.36	6.32
	"Kentucky"	"21"	"2000"	"2000"	"Alcohol-induced causes"	"A"	263	4041769	6.51	6.39
"Total"	"Kentucky"	"21"	"2000"	"2000"			520	4041769	12.87	12.72
	"Kentucky"	"21"	"2001"	"2001"	"Drug-induced causes"	"D"	370	4068132	9.10	9.05
	"Kentucky"	"21"	"2001"	"2001"	"Alcohol-induced causes"	"A"	257	4068132	6.32	6.14
"Total"	"Kentucky"	"21"	"2001"	"2001"			627	4068132	15.41	15.18
	"Kentucky"	"21"	"2002"	"2002"	"Drug-induced causes"	"D"	451	4089875	11.03	11.02
	"Kentucky"	"21"	"2002"	"2002"	"Alcohol-induced causes"	"A"	235	4089875	5.75	5.53
"Total"	"Kentucky"	"21"	"2002"	"2002"			686	4089875	16.77	16.54
	"Kentucky"	"21"	"2003"	"2003"	"Drug-induced causes"	"D"	588	4117170	14.28	14.30
	"Kentucky"	"21"	"2003"	"2003"	"Alcohol-induced causes"	"A"	241	4117170	5.85	5.61
"Total"	"Kentucky"	"21"	"2003"	"2003"			829	4117170	20.14	19.90
	"Kentucky"	"21"	"2004"	"2004"	"Drug-induced causes"	"D"	559	4146101	13.48	13.54
	"Kentucky"	"21"	"2004"	"2004"	"Alcohol-induced causes"	"A"	244	4146101	5.89	5.58
"Total"	"Kentucky"	"21"	"2004"	"2004"			803	4146101	19.37	19.13
	"Kentucky"	"21"	"2005"	"2005"	"Drug-induced causes"	"D"	662	4182742	15.83	15.89
	"Kentucky"	"21"	"2005"	"2005"	"Alcohol-induced causes"	"A"	252	4182742	6.02	5.63
"Total"	"Kentucky"	"21"	"2005"	"2005"			914	4182742	21.85	21.52
	"Kentucky"	"21"	"2006"	"2006"	"Drug-induced causes"	"D"	766	4219239	18.15	18.23
	"Kentucky"	"21"	"2006"	"2006"	"Alcohol-induced causes"	"A"	232	4219239	5.50	5.00
"Total"	"Kentucky"	"21"	"2006"	"2006"			998	4219239	23.65	23.25
	"Kentucky"	"21"	"2007"	"2007"	"Drug-induced causes"	"D"	722	4256672	16.96	17.02
	"Kentucky"	"21"	"2007"	"2007"	"Alcohol-induced causes"	"A"	283	4256672	6.65	6.17
"Total"	"Kentucky"	"21"	"2007"	"2007"			1005	4256672	23.61	23.19
	"Kentucky"	"21"	"2008"	"2008"	"Drug-induced causes"	"D"	779	4289878	18.16	18.31
	"Kentucky"	"21"	"2008"	"2008"	"Alcohol-induced causes"	"A"	237	4289878	5.52	5.00
"Total"	"Kentucky"	"21"	"2008"	"2008"			1016	4289878	23.68	23.34
	"Kentucky"	"21"	"2009"	"2009"	"Drug-induced causes"	"D"	786	4317074	18.21	18.36
	"Kentucky"	"21"	"2009"	"2009"	"Alcohol-induced causes"	"A"	301	4317074	6.97	6.31
"Total"	"Kentucky"	"21"	"2009"	"2009"			1087	4317074	25.18	24.67
	"Kentucky"	"21"	"2010"	"2010"	"Drug-induced causes"	"D"	1036	4339367	23.87	24.21
	"Kentucky"	"21"	"2010"	"2010"	"Alcohol-induced causes"	"A"	302	4339367	6.96	6.21
"Total"	"Kentucky"	"21"	"2010"	"2010"			1338	4339367	30.83	30.42
	"Kentucky"	"21"	"2011"	"2011"	"Drug-induced causes"	"D"	1099	4369356	25.15	25.96
	"Kentucky"	"21"	"2011"	"2011"	"Alcohol-induced causes"	"A"	293	4369356	6.71	6.02
"Total"	"Kentucky"	"21"	"2011"	"2011"			1392	4369356	31.86	31.95
	"Kentucky"	"21"	"2012"	"2012"	"Drug-induced causes"	"D"	1126	4380415	25.71	26.05
	"Kentucky"	"21"	"2012"	"2012"	"Alcohol-induced causes"	"A"	351	4380415	8.01	7.17
"Total"	"Kentucky"	"21"	"2012"	"2012"			1477	4380415	33.72	33.25
	"Kentucky"	"21"	"2013"	"2013"	"Drug-induced causes"	"D"	1049	4395295	23.87	24.34
	"Kentucky"	"21"	"2013"	"2013"	"Alcohol-induced causes"	"A"	331	4395295	7.53	6.59
"Total"	"Kentucky"	"21"	"2013"	"2013"			1380	4395295	31.40	30.94
	"Kentucky"	"21"	"2014"	"2014"	"Drug-induced causes"	"D"	1128	4413457	25.56	25.95
	"Kentucky"	"21"	"2014"	"2014"	"Alcohol-induced causes"	"A"	396	4413457	8.97	7.94
"Total"	"Kentucky"	"21"	"2014"	"2014"			1524	4413457	34.53	33.86
	"Kentucky"	"21"	"2015"	"2015"	"Drug-induced causes"	"D"	1332	4425092	30.10	31.30
	"Kentucky"	"21"	"2015"	"2015"	"Alcohol-induced causes"	"A"	466	4425092	10.53	9.15
"Total"	"Kentucky"	"21"	"2015"	"2015"			1798	4425092	40.63	40.45
	"Kentucky"	"21"	"2016"	"2016"	"Drug-induced causes"	"D"	1525	4436974	34.37	36.07
	"Kentucky"	"21"	"2016"	"2016"	"Alcohol-induced causes"	"A"	500	4436974	11.27	9.74
"Total"	"Kentucky"	"21"	"2016"	"2016"			2025	4436974	45.64	45.78
	"Kentucky"	"21"	"2017"	"2017"	"Drug-induced causes"	"D"	1662	4454189	37.31	39.51
	"Kentucky"	"21"	"2017"	"2017"	"Alcohol-induced causes"	"A"	484	4454189	10.87	9.58
"Total"	"Kentucky"	"21"	"2017"	"2017"			2146	4454189	48.18	49.09
"Total"	"Kentucky"	"21"					22018	80960850	27.20	26.77
	"Louisiana"	"22"	"1999"	"1999"	"Drug-induced causes"	"D"	246	4460811	5.51	5.66
	"Louisiana"	"22"	"1999"	"1999"	"Alcohol-induced causes"	"A"	301	4460811	6.75	7.09
"Total"	"Louisiana"	"22"	"1999"	"1999"			547	4460811	12.26	12.72
	"Louisiana"	"22"	"2000"	"2000"	"Drug-induced causes"	"D"	335	4468976	7.50	7.64
	"Louisiana"	"22"	"2000"	"2000"	"Alcohol-induced causes"	"A"	223	4468976	4.99	5.19
"Total"	"Louisiana"	"22"	"2000"	"2000"			558	4468976	12.49	12.83
	"Louisiana"	"22"	"2001"	"2001"	"Drug-induced causes"	"D"	351	4477875	7.84	7.97
	"Louisiana"	"22"	"2001"	"2001"	"Alcohol-induced causes"	"A"	238	4477875	5.32	5.43
"Total"	"Louisiana"	"22"	"2001"	"2001"			589	4477875	13.15	13.40
	"Louisiana"	"22"	"2002"	"2002"	"Drug-induced causes"	"D"	468	4497267	10.41	10.61
	"Louisiana"	"22"	"2002"	"2002"	"Alcohol-induced causes"	"A"	231	4497267	5.14	5.20
"Total"	"Louisiana"	"22"	"2002"	"2002"			699	4497267	15.54	15.84
	"Louisiana"	"22"	"2003"	"2003"	"Drug-induced causes"	"D"	630	4521042	13.93	14.31
	"Louisiana"	"22"	"2003"	"2003"	"Alcohol-induced causes"	"A"	227	4521042	5.02	5.03
"Total"	"Louisiana"	"22"	"2003"	"2003"			857	4521042	18.96	19.33
	"Louisiana"	"22"	"2004"	"2004"	"Drug-induced causes"	"D"	656	4552238	14.41	14.70
	"Louisiana"	"22"	"2004"	"2004"	"Alcohol-induced causes"	"A"	216	4552238	4.74	4.68
"Total"	"Louisiana"	"22"	"2004"	"2004"			872	4552238	19.16	19.37
	"Louisiana"	"22"	"2005"	"2005"	"Drug-induced causes"	"D"	752	4576628	16.43	16.73
	"Louisiana"	"22"	"2005"	"2005"	"Alcohol-induced causes"	"A"	216	4576628	4.72	4.64
"Total"	"Louisiana"	"22"	"2005"	"2005"			968	4576628	21.15	21.38
	"Louisiana"	"22"	"2006"	"2006"	"Drug-induced causes"	"D"	800	4302665	18.59	18.74
	"Louisiana"	"22"	"2006"	"2006"	"Alcohol-induced causes"	"A"	221	4302665	5.14	4.92
"Total"	"Louisiana"	"22"	"2006"	"2006"			1021	4302665	23.73	23.68
	"Louisiana"	"22"	"2007"	"2007"	"Drug-induced causes"	"D"	862	4375581	19.70	20.07
	"Louisiana"	"22"	"2007"	"2007"	"Alcohol-induced causes"	"A"	202	4375581	4.62	4.37
"Total"	"Louisiana"	"22"	"2007"	"2007"			1064	4375581	24.32	24.43
	"Louisiana"	"22"	"2008"	"2008"	"Drug-induced causes"	"D"	686	4435586	15.47	15.73
	"Louisiana"	"22"	"2008"	"2008"	"Alcohol-induced causes"	"A"	210	4435586	4.73	4.44
"Total"	"Louisiana"	"22"	"2008"	"2008"			896	4435586	20.20	20.16
	"Louisiana"	"22"	"2009"	"2009"	"Drug-induced causes"	"D"	623	4491648	13.87	14.05
	"Louisiana"	"22"	"2009"	"2009"	"Alcohol-induced causes"	"A"	219	4491648	4.88	4.56
"Total"	"Louisiana"	"22"	"2009"	"2009"			842	4491648	18.75	18.61
	"Louisiana"	"22"	"2010"	"2010"	"Drug-induced causes"	"D"	616	4533372	13.59	13.71
	"Louisiana"	"22"	"2010"	"2010"	"Alcohol-induced causes"	"A"	235	4533372	5.18	4.85
"Total"	"Louisiana"	"22"	"2010"	"2010"			851	4533372	18.77	18.56
	"Louisiana"	"22"	"2011"	"2011"	"Drug-induced causes"	"D"	618	4574836	13.51	13.86
	"Louisiana"	"22"	"2011"	"2011"	"Alcohol-induced causes"	"A"	190	4574836	4.15	3.91
"Total"	"Louisiana"	"22"	"2011"	"2011"			808	4574836	17.66	17.77
	"Louisiana"	"22"	"2012"	"2012"	"Drug-induced causes"	"D"	588	4601893	12.78	12.83
	"Louisiana"	"22"	"2012"	"2012"	"Alcohol-induced causes"	"A"	215	4601893	4.67	4.38
"Total"	"Louisiana"	"22"	"2012"	"2012"			803	4601893	17.45	17.21
	"Louisiana"	"22"	"2013"	"2013"	"Drug-induced causes"	"D"	836	4625470	18.07	18.36
	"Louisiana"	"22"	"2013"	"2013"	"Alcohol-induced causes"	"A"	299	4625470	6.46	5.77
"Total"	"Louisiana"	"22"	"2013"	"2013"			1135	4625470	24.54	24.12
	"Louisiana"	"22"	"2014"	"2014"	"Drug-induced causes"	"D"	810	4649676	17.42	17.59
	"Louisiana"	"22"	"2014"	"2014"	"Alcohol-induced causes"	"A"	330	4649676	7.10	6.48
"Total"	"Louisiana"	"22"	"2014"	"2014"			1140	4649676	24.52	24.06
	"Louisiana"	"22"	"2015"	"2015"	"Drug-induced causes"	"D"	901	4670724	19.29	19.90
	"Louisiana"	"22"	"2015"	"2015"	"Alcohol-induced causes"	"A"	388	4670724	8.31	7.59
"Total"	"Louisiana"	"22"	"2015"	"2015"			1289	4670724	27.60	27.49
	"Louisiana"	"22"	"2016"	"2016"	"Drug-induced causes"	"D"	1036	4681666	22.13	22.67
	"Louisiana"	"22"	"2016"	"2016"	"Alcohol-induced causes"	"A"	325	4681666	6.94	6.24
"Total"	"Louisiana"	"22"	"2016"	"2016"			1361	4681666	29.07	28.93
	"Louisiana"	"22"	"2017"	"2017"	"Drug-induced causes"	"D"	1138	4684333	24.29	25.08
	"Louisiana"	"22"	"2017"	"2017"	"Alcohol-induced causes"	"A"	341	4684333	7.28	6.56
"Total"	"Louisiana"	"22"	"2017"	"2017"			1479	4684333	31.57	31.64
"Total"	"Louisiana"	"22"					17779	86182287	20.63	20.68
	"Maine"	"23"	"1999"	"1999"	"Drug-induced causes"	"D"	70	1266808	5.53	5.49
	"Maine"	"23"	"1999"	"1999"	"Alcohol-induced causes"	"A"	106	1266808	8.37	7.71
"Total"	"Maine"	"23"	"1999"	"1999"			176	1266808	13.89	13.17
	"Maine"	"23"	"2000"	"2000"	"Drug-induced causes"	"D"	62	1274923	4.86	4.86
	"Maine"	"23"	"2000"	"2000"	"Alcohol-induced causes"	"A"	97	1274923	7.61	6.93
"Total"	"Maine"	"23"	"2000"	"2000"			159	1274923	12.47	11.78
	"Maine"	"23"	"2001"	"2001"	"Drug-induced causes"	"D"	92	1285692	7.16	7.01
	"Maine"	"23"	"2001"	"2001"	"Alcohol-induced causes"	"A"	94	1285692	7.31	6.54
"Total"	"Maine"	"23"	"2001"	"2001"			186	1285692	14.47	13.55
	"Maine"	"23"	"2002"	"2002"	"Drug-induced causes"	"D"	147	1295960	11.34	11.50
	"Maine"	"23"	"2002"	"2002"	"Alcohol-induced causes"	"A"	101	1295960	7.79	7.03
"Total"	"Maine"	"23"	"2002"	"2002"			248	1295960	19.14	18.53
	"Maine"	"23"	"2003"	"2003"	"Drug-induced causes"	"D"	134	1306513	10.26	10.36
	"Maine"	"23"	"2003"	"2003"	"Alcohol-induced causes"	"A"	117	1306513	8.96	7.76
"Total"	"Maine"	"23"	"2003"	"2003"			251	1306513	19.21	18.13
	"Maine"	"23"	"2004"	"2004"	"Drug-induced causes"	"D"	145	1313688	11.04	11.27
	"Maine"	"23"	"2004"	"2004"	"Alcohol-induced causes"	"A"	106	1313688	8.07	6.91
"Total"	"Maine"	"23"	"2004"	"2004"			251	1313688	19.11	18.17
	"Maine"	"23"	"2005"	"2005"	"Drug-induced causes"	"D"	168	1318787	12.74	12.79
	"Maine"	"23"	"2005"	"2005"	"Alcohol-induced causes"	"A"	131	1318787	9.93	8.18
"Total"	"Maine"	"23"	"2005"	"2005"			299	1318787	22.67	20.97
	"Maine"	"23"	"2006"	"2006"	"Drug-induced causes"	"D"	166	1323619	12.54	12.49
	"Maine"	"23"	"2006"	"2006"	"Alcohol-induced causes"	"A"	114	1323619	8.61	7.40
"Total"	"Maine"	"23"	"2006"	"2006"			280	1323619	21.15	19.88
	"Maine"	"23"	"2007"	"2007"	"Drug-induced causes"	"D"	161	1327040	12.13	12.47
	"Maine"	"23"	"2007"	"2007"	"Alcohol-induced causes"	"A"	133	1327040	10.02	8.06
"Total"	"Maine"	"23"	"2007"	"2007"			294	1327040	22.15	20.53
	"Maine"	"23"	"2008"	"2008"	"Drug-induced causes"	"D"	162	1330509	12.18	12.32
	"Maine"	"23"	"2008"	"2008"	"Alcohol-induced causes"	"A"	99	1330509	7.44	6.10
"Total"	"Maine"	"23"	"2008"	"2008"			261	1330509	19.62	18.40
	"Maine"	"23"	"2009"	"2009"	"Drug-induced causes"	"D"	182	1329590	13.69	13.30
	"Maine"	"23"	"2009"	"2009"	"Alcohol-induced causes"	"A"	133	1329590	10.00	8.30
"Total"	"Maine"	"23"	"2009"	"2009"			315	1329590	23.69	21.60
	"Maine"	"23"	"2010"	"2010"	"Drug-induced causes"	"D"	140	1328361	10.54	10.72
	"Maine"	"23"	"2010"	"2010"	"Alcohol-induced causes"	"A"	132	1328361	9.94	7.64
"Total"	"Maine"	"23"	"2010"	"2010"			272	1328361	20.48	18.37
	"Maine"	"23"	"2011"	"2011"	"Drug-induced causes"	"D"	160	1328188	12.05	12.07
	"Maine"	"23"	"2011"	"2011"	"Alcohol-induced causes"	"A"	123	1328188	9.26	7.41
"Total"	"Maine"	"23"	"2011"	"2011"			283	1328188	21.31	19.48
	"Maine"	"23"	"2012"	"2012"	"Drug-induced causes"	"D"	157	1329192	11.81	12.03
	"Maine"	"23"	"2012"	"2012"	"Alcohol-induced causes"	"A"	137	1329192	10.31	7.84
"Total"	"Maine"	"23"	"2012"	"2012"			294	1329192	22.12	19.86
	"Maine"	"23"	"2013"	"2013"	"Drug-induced causes"	"D"	183	1328302	13.78	13.86
	"Maine"	"23"	"2013"	"2013"	"Alcohol-induced causes"	"A"	144	1328302	10.84	8.47
"Total"	"Maine"	"23"	"2013"	"2013"			327	1328302	24.62	22.32
	"Maine"	"23"	"2014"	"2014"	"Drug-induced causes"	"D"	227	1330089	17.07	17.70
	"Maine"	"23"	"2014"	"2014"	"Alcohol-induced causes"	"A"	150	1330089	11.28	8.76
"Total"	"Maine"	"23"	"2014"	"2014"			377	1330089	28.34	26.47
	"Maine"	"23"	"2015"	"2015"	"Drug-induced causes"	"D"	278	1329328	20.91	22.03
	"Maine"	"23"	"2015"	"2015"	"Alcohol-induced causes"	"A"	194	1329328	14.59	11.62
"Total"	"Maine"	"23"	"2015"	"2015"			472	1329328	35.51	33.68
	"Maine"	"23"	"2016"	"2016"	"Drug-induced causes"	"D"	369	1331479	27.71	29.95
	"Maine"	"23"	"2016"	"2016"	"Alcohol-induced causes"	"A"	192	1331479	14.42	11.83
"Total"	"Maine"	"23"	"2016"	"2016"			561	1331479	42.13	41.78
	"Maine"	"23"	"2017"	"2017"	"Drug-induced causes"	"D"	443	1335907	33.16	35.71
	"Maine"	"23"	"2017"	"2017"	"Alcohol-induced causes"	"A"	194	1335907	14.52	11.33
"Total"	"Maine"	"23"	"2017"	"2017"			637	1335907	47.68	47.05
"Total"	"Maine"	"23"					5943	25013975	23.76	22.19
	"Maryland"	"24"	"1999"	"1999"	"Drug-induced causes"	"D"	660	5254509	12.56	12.00
	"Maryland"	"24"	"1999"	"1999"	"Alcohol-induced causes"	"A"	314	5254509	5.98	5.97
"Total"	"Maryland"	"24"	"1999"	"1999"			974	5254509	18.54	17.96
	"Maryland"	"24"	"2000"	"2000"	"Drug-induced causes"	"D"	657	5296486	12.40	11.90
	"Maryland"	"24"	"2000"	"2000"	"Alcohol-induced causes"	"A"	294	5296486	5.55	5.49
"Total"	"Maryland"	"24"	"2000"	"2000"			951	5296486	17.96	17.39
	"Maryland"	"24"	"2001"	"2001"	"Drug-induced causes"	"D"	676	5374691	12.58	12.11
	"Maryland"	"24"	"2001"	"2001"	"Alcohol-induced causes"	"A"	278	5374691	5.17	5.00
"Total"	"Maryland"	"24"	"2001"	"2001"			954	5374691	17.75	17.13
	"Maryland"	"24"	"2002"	"2002"	"Drug-induced causes"	"D"	759	5440389	13.95	13.53
	"Maryland"	"24"	"2002"	"2002"	"Alcohol-induced causes"	"A"	295	5440389	5.42	5.24
"Total"	"Maryland"	"24"	"2002"	"2002"			1054	5440389	19.37	18.78
	"Maryland"	"24"	"2003"	"2003"	"Drug-induced causes"	"D"	834	5496269	15.17	14.75
	"Maryland"	"24"	"2003"	"2003"	"Alcohol-induced causes"	"A"	283	5496269	5.15	4.97
"Total"	"Maryland"	"24"	"2003"	"2003"			1117	5496269	20.32	19.73
	"Maryland"	"24"	"2004"	"2004"	"Drug-induced causes"	"D"	721	5546935	13.00	12.66
	"Maryland"	"24"	"2004"	"2004"	"Alcohol-induced causes"	"A"	280	5546935	5.05	4.79
"Total"	"Maryland"	"24"	"2004"	"2004"			1001	5546935	18.05	17.43
	"Maryland"	"24"	"2005"	"2005"	"Drug-induced causes"	"D"	696	5592379	12.45	12.11
	"Maryland"	"24"	"2005"	"2005"	"Alcohol-induced causes"	"A"	281	5592379	5.02	4.69
"Total"	"Maryland"	"24"	"2005"	"2005"			977	5592379	17.47	16.79
	"Maryland"	"24"	"2006"	"2006"	"Drug-induced causes"	"D"	805	5627367	14.31	13.90
	"Maryland"	"24"	"2006"	"2006"	"Alcohol-induced causes"	"A"	294	5627367	5.22	4.89
"Total"	"Maryland"	"24"	"2006"	"2006"			1099	5627367	19.53	18.80
	"Maryland"	"24"	"2007"	"2007"	"Drug-induced causes"	"D"	807	5653408	14.27	13.85
	"Maryland"	"24"	"2007"	"2007"	"Alcohol-induced causes"	"A"	338	5653408	5.98	5.46
"Total"	"Maryland"	"24"	"2007"	"2007"			1145	5653408	20.25	19.28
	"Maryland"	"24"	"2008"	"2008"	"Drug-induced causes"	"D"	731	5684965	12.86	12.35
	"Maryland"	"24"	"2008"	"2008"	"Alcohol-induced causes"	"A"	269	5684965	4.73	4.41
"Total"	"Maryland"	"24"	"2008"	"2008"			1000	5684965	17.59	16.76
	"Maryland"	"24"	"2009"	"2009"	"Drug-induced causes"	"D"	768	5730388	13.40	12.86
	"Maryland"	"24"	"2009"	"2009"	"Alcohol-induced causes"	"A"	296	5730388	5.17	4.72
"Total"	"Maryland"	"24"	"2009"	"2009"			1064	5730388	18.57	17.59
	"Maryland"	"24"	"2010"	"2010"	"Drug-induced causes"	"D"	674	5773552	11.67	11.35
	"Maryland"	"24"	"2010"	"2010"	"Alcohol-induced causes"	"A"	291	5773552	5.04	4.50
"Total"	"Maryland"	"24"	"2010"	"2010"			965	5773552	16.71	15.85
	"Maryland"	"24"	"2011"	"2011"	"Drug-induced causes"	"D"	731	5828289	12.54	12.12
	"Maryland"	"24"	"2011"	"2011"	"Alcohol-induced causes"	"A"	307	5828289	5.27	4.68
"Total"	"Maryland"	"24"	"2011"	"2011"			1038	5828289	17.81	16.81
	"Maryland"	"24"	"2012"	"2012"	"Drug-induced causes"	"D"	860	5884563	14.61	14.16
	"Maryland"	"24"	"2012"	"2012"	"Alcohol-induced causes"	"A"	274	5884563	4.66	4.07
"Total"	"Maryland"	"24"	"2012"	"2012"			1134	5884563	19.27	18.23
	"Maryland"	"24"	"2013"	"2013"	"Drug-induced causes"	"D"	908	5928814	15.32	14.86
	"Maryland"	"24"	"2013"	"2013"	"Alcohol-induced causes"	"A"	322	5928814	5.43	4.84
"Total"	"Maryland"	"24"	"2013"	"2013"			1230	5928814	20.75	19.69
	"Maryland"	"24"	"2014"	"2014"	"Drug-induced causes"	"D"	1095	5976407	18.32	17.80
	"Maryland"	"24"	"2014"	"2014"	"Alcohol-induced causes"	"A"	297	5976407	4.97	4.38
"Total"	"Maryland"	"24"	"2014"	"2014"			1392	5976407	23.29	22.18
	"Maryland"	"24"	"2015"	"2015"	"Drug-induced causes"	"D"	1320	6006401	21.98	21.42
	"Maryland"	"24"	"2015"	"2015"	"Alcohol-induced causes"	"A"	301	6006401	5.01	4.39
"Total"	"Maryland"	"24"	"2015"	"2015"			1621	6006401	26.99	25.82
	"Maryland"	"24"	"2016"	"2016"	"Drug-induced causes"	"D"	2089	6016447	34.72	33.96
	"Maryland"	"24"	"2016"	"2016"	"Alcohol-induced causes"	"A"	354	6016447	5.88	5.19
"Total"	"Maryland"	"24"	"2016"	"2016"			2443	6016447	40.61	39.15
	"Maryland"	"24"	"2017"	"2017"	"Drug-induced causes"	"D"	2296	6052177	37.94	36.98
